Rain Guage Name,Station Id,Latitude,Longitude,Sensor Group
ALAMITOS,6001,37.2472222,-121.8705556,Valley Water
ALMADEN WATERSHED,6004,37.1572222,-121.8333333,Valley Water
BIEL RANCH,6008,37.4672223,-121.5316667,Valley Water
CASTRO VALLEY,6015,36.9583333,-121.6047222,Valley Water
GUADALUPE SLOUGH,6016,37.4533333,-121.0327778,Valley Water
COE PARK,6017,37.1943889,-121.5488889,Valley Water
COIT RANCH,6018,37.1505556,-121.4317222,Valley Water
COYOTE RESERVOIR,6021,37.1152778,-121.5502778,Valley Water
CURTNER RANCH,6023,37.4662223,-121.8772222,Valley Water
HASKINS RANCH,6034,37.3955555,-121.7752778,Valley Water
JOHNSON RANCH,6036,37.2218334,-121.9711111,Valley Water
LEROY ANDERSON DAM,6041,37.1494444,-121.6430556,Valley Water
LOMA PRIETA,6044,37.1108333,-121.8441667,Valley Water
SUNNYVALE HAMILTON WTP,6048,37.3583333,-122.0525,Valley Water
MT. HAMILTON,6067,37.3486111,-121.6302778,Valley Water
MT. UMUNHUM,6069,37.1583333,-121.9063889,Valley Water
VALLEY CHRISTIAN,6077,37.2394444,-122.0716667,Valley Water
RINCONADA WTP,6079,37.2552778,-121.9816667,Valley Water
SHANTI ASHRAMA,6098,37.3086111,-121.4783889,Valley Water
PENITENCIA WTP,6099,37.3983333,-121.8352777,Valley Water
STEVENS CREEK RESERVOIR,6100,37.2875,-122.0786111,Valley Water
UTC,6102,37.2338889,-121.6905555,Valley Water
UVAS RESERVOIR,6104,37.0655556,-121.6888889,Valley Water
WEST YARD,6108,37.3080556,-121.9944444,Valley Water
MTN. VIEW CORPORATION YARD,6121,37.3933333,-122.0597222,Valley Water
GUADALUPE WATERSHED,6123,37.19,-121.8919444,Valley Water
VASONA PUMP STATION,6125,37.2586111,-121.9616667,Valley Water
COW RIDGE,6127,37.2688889,-121.6130556,Valley Water
CALERO WATERSHED,6128,37.1797223,-121.7625,Valley Water
PALO ALTO RECLAMATION PLANT,6129,37.4544444,-122.1005556,Valley Water
CITY OF SAN JOSE,6131,37.3494444,-121.9044,Valley Water
EVERGREEN,6132,37.2986111,-121.75694,Valley Water
CHURCH AVENUE PERC PONDS,6134,37.0686111,-121.5972,Valley Water
UVAS CANYON COUNTY PARK,6135,37.0863889,-121.7922,Valley Water
LEXINGTON RESERVOIR (BANJO POINT),6138,37.1955556,-121.9847,Valley Water
WEST LITTLE LLAGAS,6139,37.1411111,-121.6717,Valley Water
RANCHO SAN ANTONIO,6140,37.3283333,-122.1181,Valley Water
PALM AVE,6141,37.1788889,-121.7275,Valley Water
TRAPPERS TRAIL,6142,37.3455556,-122.1809,Valley Water
EDMUNDSON AVE,6143,37.1013889,-121.6442,Valley Water
MARYKNOLL FIELDS,6144,37.3288889,-122.0809,Valley Water
CANADA DE LOS OSOS,6145,37.035,-121.4217,Valley Water
LOS TRANCOS,6146,37.405,-122.1858,Valley Water
WESTWIND COMMUNITY BARN,6147,37.3658333,-122.1592,Valley Water
WINDY HILL (JPA),6148,37.35799408,-122.2399063,Valley Water
WUNDERLICH (JPA),6149,37.357994,-122.2399063,Valley Water
HUDDART PARK (JPA),6150,37.43972,-122.289,Valley Water
PACHECO RESERVOIR,6151,37.056593,-121.289717,Valley Water
